order_id,item_id,product_id,quantity,list_price,discount,total_price,Product_name,Category_name
1,1,20,1,599.99,0.2,479.992,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
1,2,8,2,1799.99,0.07,3347.9814,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes
1,3,10,2,1549,0.05,2943.1,Surly Straggler - 2016,Cyclocross Bicycles
1,4,16,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
1,5,4,1,2899.99,0.2,2319.992,Trek Fuel EX 8 29 - 2016,Mountain Bikes
2,1,20,1,599.99,0.07,557.9907,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
2,2,16,2,599.99,0.05,1139.981,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles
3,1,3,1,999.99,0.05,949.9905,Surly Wednesday Frameset - 2016,Mountain Bikes
3,2,20,1,599.99,0.05,569.9905,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
4,1,2,2,749.99,0.1,1349.982,Ritchey Timberwolf Frameset - 2016,Mountain Bikes
5,1,10,2,1549,0.05,2943.1,Surly Straggler - 2016,Cyclocross Bicycles
5,2,17,1,429,0.07,398.97,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles
5,3,26,1,599.99,0.07,557.9907,Electra Townie Original 7D EQ - 2016,Comfort Bicycles
6,1,18,1,449,0.07,417.57,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles
6,2,12,2,549.99,0.05,1044.981,Electra Townie Original 21D - 2016,Cruisers Bicycles
6,3,20,1,599.99,0.1,539.991,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles
6,4,3,2,999.99,0.07,1859.9814,Surly Wednesday Frameset - 2016,Mountain Bikes
6,5,9,2,2999.99,0.07,5579.9814,Trek Conduit+ - 2016,Electric Bikes
7,1,15,1,529.99,0.07,492.8907,Electra Moto 1 - 2016,Cruisers Bicycles
7,2,3,1,999.99,0.1,899.991,Surly Wednesday Frameset - 2016,Mountain Bikes
